"","year","ctry","milt_expend","gni_growth"
"348",1945,"ZAF",NA,NA
"349",1946,"ZAF",NA,NA
"350",1947,"ZAF",NA,NA
"351",1948,"ZAF",NA,NA
"352",1949,"ZAF",NA,NA
"353",1950,"ZAF",NA,NA
"354",1951,"ZAF",297.208702,NA
"355",1952,"ZAF",314.103624,NA
"356",1953,"ZAF",267.905863,NA
"357",1954,"ZAF",251.667626,NA
"358",1955,"ZAF",260.394059,NA
"359",1956,"ZAF",292.799138,NA
"360",1957,"ZAF",422.261814,NA
"361",1958,"ZAF",317.29235,NA
"362",1959,"ZAF",298.08803,NA
"363",1960,"ZAF",340.101977,NA
"364",1961,"ZAF",541.285578,0.945484341
"365",1962,"ZAF",875.136356,4.314045995
"366",1963,"ZAF",876.568877,5.134064676
"367",1964,"ZAF",1228.51759,4.927379118
"368",1965,"ZAF",1258.06659,6.013920243
"369",1966,"ZAF",1362.64603,1.927613054
"370",1967,"ZAF",1513.41028,4.74588785
"371",1968,"ZAF",1589.73245,1.319971418
"372",1969,"ZAF",1639.65122,1.96659405
"373",1970,"ZAF",1547.20038,2.558441738
"374",1971,"ZAF",1703.84737,1.8768212
"375",1972,"ZAF",1743.2239,-1.18408232
"376",1973,"ZAF",2195.85395,1.771011027
"377",1974,"ZAF",2819.56988,2.985691425
"378",1975,"ZAF",3542.03876,-1.48436092
"379",1976,"ZAF",4395.04817,-0.27153046
"380",1977,"ZAF",4888.72059,-2.77852933
"381",1978,"ZAF",4386.678,0.591772415
"382",1979,"ZAF",3917.70399,1.291825978
"383",1980,"ZAF",3927.10568,3.950242464
"384",1981,"ZAF",4344.63291,2.780981388
"385",1982,"ZAF",4273.02786,-2.67557106
"386",1983,"ZAF",4342.06853,-4.25641928
"387",1984,"ZAF",4678.33336,2.448250438
"388",1985,"ZAF",4645.20201,-4.13989725
"389",1986,"ZAF",4735.15127,-2.24765733
"390",1987,"ZAF",5228.90022,0.819036046
"391",1988,"ZAF",6137.52191,2.315299794
"392",1989,"ZAF",6053.64844,0.187043445
"393",1990,"ZAF",5451.98024,-2.82672814
"394",1991,"ZAF",4478.53756,-2.26136217
"395",1992,"ZAF",3855.48132,-4.14749131
"396",1993,"ZAF",3563.01146,-0.97039455
"397",1994,"ZAF",3798.89373,1.048282961
"398",1995,"ZAF",3379.51546,0.844818021
"399",1996,"ZAF",2937.38769,2.093593641
"400",1997,"ZAF",2700.28224,0.908434447
"401",1998,"ZAF",2392.61574,-1.1898569
"402",1999,"ZAF",2292.78721,NA
"403",2000,"ZAF",2691.01637,2.698616278
"404",2001,"ZAF",3008.89205,1.028630555
"405",2002,"ZAF",3306.95665,3.084812509
"406",2003,"ZAF",3267.77553,1.475667814
"407",2004,"ZAF",3313.50124,3.982933298
"408",2005,"ZAF",3631.09081,3.90308828
"409",2006,"ZAF",3631.94595,4.215045094
"410",2007,"ZAF",3548.0318,2.546788586
"411",2008,"ZAF",3476.3563,1.929386603
"412",2009,"ZAF",3639.18455,-2.10477395
"413",2010,"ZAF",3515.54181,1.653117917
"414",2011,"ZAF",3642.70663,1.296608601
"415",2012,"ZAF",3809.58715,0.571467074
"416",2013,"ZAF",3897.31323,0.902194053
"417",2014,"ZAF",3893.47812,0.023939962
"418",2015,"ZAF",3881.18643,-0.19056358
"419",2016,"ZAF",NA,NA
"420",2017,"ZAF",NA,NA
"421",1913,"CHN",NA,NA
"422",1914,"CHN",NA,NA
"423",1915,"CHN",NA,NA
"424",1916,"CHN",NA,NA
"425",1917,"CHN",NA,NA
"426",1918,"CHN",NA,NA
"427",1919,"CHN",NA,NA
"428",1920,"CHN",NA,NA
"429",1921,"CHN",NA,NA
"430",1922,"CHN",NA,NA
"431",1923,"CHN",NA,NA
"432",1924,"CHN",NA,NA
"433",1925,"CHN",NA,NA
"434",1926,"CHN",NA,NA
"435",1927,"CHN",NA,NA
"436",1928,"CHN",NA,NA
"437",1929,"CHN",NA,NA
"438",1930,"CHN",NA,NA
"439",1931,"CHN",NA,NA
"440",1932,"CHN",NA,NA
"441",1933,"CHN",NA,NA
"442",1934,"CHN",NA,NA
"443",1935,"CHN",NA,NA
"444",1936,"CHN",NA,NA
"445",1937,"CHN",NA,NA
"446",1938,"CHN",NA,NA
"447",1939,"CHN",NA,NA
"448",1940,"CHN",NA,NA
"449",1941,"CHN",NA,NA
"450",1942,"CHN",NA,NA
"451",1943,"CHN",NA,NA
"452",1944,"CHN",NA,NA
"453",1945,"CHN",NA,NA
"454",1946,"CHN",NA,NA
"455",1947,"CHN",NA,NA
"456",1948,"CHN",NA,NA
"457",1949,"CHN",NA,NA
"458",1950,"CHN",NA,NA
"459",1951,"CHN",NA,NA
"460",1952,"CHN",NA,NA
"461",1953,"CHN",NA,NA
"462",1954,"CHN",NA,NA
"463",1955,"CHN",NA,NA
"464",1956,"CHN",NA,NA
"465",1957,"CHN",NA,NA
"466",1958,"CHN",NA,NA
"467",1959,"CHN",NA,NA
"468",1960,"CHN",NA,NA
"469",1961,"CHN",NA,NA
"470",1962,"CHN",NA,NA
"471",1963,"CHN",NA,NA
"472",1964,"CHN",NA,NA
"473",1965,"CHN",NA,NA
"474",1966,"CHN",NA,NA
"475",1967,"CHN",NA,NA
"476",1968,"CHN",NA,NA
"477",1969,"CHN",NA,NA
"478",1970,"CHN",NA,NA
"479",1971,"CHN",NA,NA
"480",1972,"CHN",NA,NA
"481",1973,"CHN",NA,NA
"482",1974,"CHN",NA,NA
"483",1975,"CHN",NA,NA
"484",1976,"CHN",NA,NA
"485",1977,"CHN",NA,NA
"486",1978,"CHN",NA,NA
"487",1979,"CHN",NA,NA
"488",1980,"CHN",NA,NA
"489",1981,"CHN",NA,NA
"490",1982,"CHN",NA,NA
"491",1983,"CHN",NA,NA
"492",1984,"CHN",NA,NA
"493",1985,"CHN",NA,NA
"494",1986,"CHN",NA,NA
"495",1987,"CHN",NA,NA
"496",1988,"CHN",NA,NA
"497",1989,"CHN",20211.5874,NA
"498",1990,"CHN",22025.4341,NA
"499",1991,"CHN",23398.1244,NA
"500",1992,"CHN",28425.5476,NA
"501",1993,"CHN",26221.5988,NA
"502",1994,"CHN",25256.2019,NA
"503",1995,"CHN",26213.3862,NA
"504",1996,"CHN",27837.0309,NA
"505",1997,"CHN",29857.6125,NA
"506",1998,"CHN",32715.3254,NA
"507",1999,"CHN",39800.2715,NA
"508",2000,"CHN",43229.7892,NA
"509",2001,"CHN",52179.2159,NA
"510",2002,"CHN",60642.115,NA
"511",2003,"CHN",65496.2393,NA
"512",2004,"CHN",72415.0063,NA
"513",2005,"CHN",79808.7442,NA
"514",2006,"CHN",92586.2399,NA
"515",2007,"CHN",103715.573,NA
"516",2008,"CHN",113527.042,NA
"517",2009,"CHN",137400.845,NA
"518",2010,"CHN",144382.716,NA
"519",2011,"CHN",155897.745,NA
"520",2012,"CHN",169321.141,NA
"521",2013,"CHN",182930.077,NA
"522",2014,"CHN",199651.442,NA
"523",2015,"CHN",214485.46,NA
"524",2016,"CHN",NA,NA
"525",2017,"CHN",NA,NA
"526",1913,"PHL",NA,NA
"527",1914,"PHL",NA,NA
"528",1915,"PHL",NA,NA
"529",1916,"PHL",NA,NA
"530",1917,"PHL",NA,NA
"531",1918,"PHL",NA,NA
"532",1919,"PHL",NA,NA
"533",1920,"PHL",NA,NA
"534",1921,"PHL",NA,NA
"535",1922,"PHL",NA,NA
"536",1923,"PHL",NA,NA
"537",1924,"PHL",NA,NA
"538",1925,"PHL",NA,NA
"539",1926,"PHL",NA,NA
"540",1927,"PHL",NA,NA
"541",1928,"PHL",NA,NA
"542",1929,"PHL",NA,NA
"543",1930,"PHL",NA,NA
"544",1931,"PHL",NA,NA
"545",1932,"PHL",NA,NA
"546",1933,"PHL",NA,NA
"547",1934,"PHL",NA,NA
"548",1935,"PHL",NA,NA
"549",1936,"PHL",NA,NA
"550",1937,"PHL",NA,NA
"551",1938,"PHL",NA,NA
"552",1939,"PHL",NA,NA
"553",1940,"PHL",NA,NA
"554",1941,"PHL",NA,NA
"555",1942,"PHL",NA,NA
"556",1943,"PHL",NA,NA
"557",1944,"PHL",NA,NA
"558",1945,"PHL",NA,NA
"559",1946,"PHL",NA,NA
"560",1947,"PHL",NA,NA
"561",1948,"PHL",NA,NA
"562",1949,"PHL",NA,NA
"563",1950,"PHL",NA,NA
"564",1951,"PHL",NA,NA
"565",1952,"PHL",NA,NA
"566",1953,"PHL",NA,NA
"567",1954,"PHL",NA,NA
"568",1955,"PHL",NA,NA
"569",1956,"PHL",NA,NA
"570",1957,"PHL",NA,NA
"571",1958,"PHL",561.474728,NA
"572",1959,"PHL",579.927761,NA
"573",1960,"PHL",576.431925,NA
"574",1961,"PHL",591.256303,2.903136607
"575",1962,"PHL",664.184887,1.762952852
"576",1963,"PHL",749.89252,3.604148319
"577",1964,"PHL",688.467235,0.107782624
"578",1965,"PHL",667.587491,1.909511672
"579",1966,"PHL",743.879028,1.480642009
"580",1967,"PHL",827.013268,2.219753252
"581",1968,"PHL",959.946736,0.947541589
"582",1969,"PHL",1158.08795,2.042038391
"583",1970,"PHL",1255.99494,-0.23996036
"584",1971,"PHL",1172.4302,3.076324055
"585",1972,"PHL",1368.12801,2.253417456
"586",1973,"PHL",1823.03784,6.300025807
"587",1974,"PHL",2363.74082,1.442351167
"588",1975,"PHL",NA,2.20057787
"589",1976,"PHL",3045.86808,5.182255568
"590",1977,"PHL",2910.67138,3.481593263
"591",1978,"PHL",2227.2004,2.439565212
"592",1979,"PHL",2664.58278,2.555686801
"593",1980,"PHL",2308.46329,1.794598726
"594",1981,"PHL",2398.36949,0.519113216
"595",1982,"PHL",2309.98386,-0.50242885
"596",1983,"PHL",2266.09462,-0.58934515
"597",1984,"PHL",1453.41781,-11.6031654
"598",1985,"PHL",1561.25713,-9.58539841
"599",1986,"PHL",1647.95324,0.54504092
"600",1987,"PHL",1755.26743,2.290981027
"601",1988,"PHL",2257.71293,4.40520096
"602",1989,"PHL",2124.65989,3.241173212
"603",1990,"PHL",2110.63949,2.306557444
"604",1991,"PHL",1919.94783,-1.86090043
"605",1992,"PHL",1938.19443,-0.59197134
"606",1993,"PHL",2099.16202,0.245560101
"607",1994,"PHL",2198.50388,3.112350138
"608",1995,"PHL",2446.6261,2.542908552
"609",1996,"PHL",2565.02029,4.264178059
"610",1997,"PHL",2290.71929,4.370988684
"611",1998,"PHL",2262.17151,5.324118477
"612",1999,"PHL",2233.43401,NA
"613",2000,"PHL",2359.73645,5.41702322
"614",2001,"PHL",2225.72167,1.416175612
"615",2002,"PHL",2343.18806,1.99464831
"616",2003,"PHL",2611.15574,6.28780513
"617",2004,"PHL",2460.35489,5.041238981
"618",2005,"PHL",2506.95948,5.026993087
